"","Data","Fechamento"
"228","30/10/2020",97.213
"229","29/10/2020",98.488
"230","28/10/2020",97.778
"231","27/10/2020",101.687
"232","26/10/2020",104.259
"233","23/10/2020",104.563
"234","22/10/2020",105.319
"235","21/10/2020",103.591
"236","20/10/2020",103.837
"237","19/10/2020",101.687
"238","16/10/2020",101.507
"239","15/10/2020",101.945
"240","14/10/2020",102.078
"241","13/10/2020",101.276
"242","09/10/2020",100.78
"243","08/10/2020",100.842
"244","07/10/2020",98.855
"245","06/10/2020",98.493
"246","05/10/2020",99.066
"247","02/10/2020",96.31
"248","01/10/2020",98.354
"249","30/09/2020",98.148
"250","29/09/2020",96.496
"251","28/09/2020",97.569
"252","25/09/2020",100.197
"253","24/09/2020",100.099
"254","23/09/2020",98.721
"255","22/09/2020",100.151
"256","21/09/2020",100.109
"257","18/09/2020",101.297
"258","17/09/2020",103.455
"259","16/09/2020",102.938
"260","15/09/2020",103.687
"261","14/09/2020",103.408
"262","11/09/2020",101.338
"263","10/09/2020",101.544
"264","09/09/2020",104.595
"265","08/09/2020",103.351
"266","04/09/2020",104.281
"267","03/09/2020",104.337
"268","02/09/2020",105.85
"269","01/09/2020",105.509
"270","31/08/2020",102.938
"271","28/08/2020",105.829
"272","27/08/2020",104.301
"273","26/08/2020",103.909
"274","25/08/2020",105.375
"275","24/08/2020",105.767
"276","21/08/2020",104.611
"277","20/08/2020",104.642
"278","19/08/2020",104.043
"279","18/08/2020",105.437
"280","17/08/2020",103.042
"281","14/08/2020",104.9
"282","13/08/2020",103.666
"283","12/08/2020",106.227
"284","11/08/2020",105.871
"285","10/08/2020",106.662
"286","07/08/2020",106.284
"287","06/08/2020",107.454
"288","05/08/2020",106.517
"289","04/08/2020",105.312
"290","03/08/2020",106.678
"291","31/07/2020",106.672
"292","30/07/2020",109.518
"293","29/07/2020",109.052
"294","28/07/2020",107.5
"295","27/07/2020",107.759
"296","24/07/2020",106.052
"297","23/07/2020",106.015
"298","22/07/2020",108.095
"299","21/07/2020",108.017
"300","20/07/2020",107.888
"301","17/07/2020",106.776
"302","16/07/2020",104.344
"303","15/07/2020",105.534
"304","14/07/2020",103.931
"305","13/07/2020",101.727
"306","10/07/2020",103.413
"307","09/07/2020",102.544
"308","08/07/2020",103.61
"309","07/07/2020",101.287
"310","06/07/2020",102.741
"311","03/07/2020",100.33
"312","02/07/2020",99.833
"313","01/07/2020",99.492
"314","30/06/2020",98.307
"315","29/06/2020",99.513
"316","26/06/2020",96.698
"317","25/06/2020",99.528
"318","24/06/2020",97.981
