Date,Adj Close
2021-07-14,149.15
2021-06-30,136.96
2021-05-28,124.61
2021-04-30,131.2383
2021-03-31,121.944
2021-02-26,121.0555
2021-01-29,131.5402
2020-12-31,132.2679
2020-11-30,118.6713
2020-10-30,108.3266
2020-09-30,115.2426
2020-08-31,128.4077
2020-07-31,105.5446
2020-06-30,90.586
2020-05-29,78.9499
2020-04-30,72.7631
2020-03-31,62.978
2020-02-28,67.7009
2020-01-31,76.4699
2019-12-31,72.5514
2019-11-29,66.0288
2019-10-31,61.2787
2019-09-30,55.172
2019-08-30,51.4203
2019-07-31,52.2792
2019-06-28,48.5689
2019-05-31,42.9615
2019-04-30,49.0521
2019-03-29,46.4317
2019-02-28,42.3251
2019-01-31,40.5114
2018-12-31,38.3938
2018-11-30,43.4662
2018-10-31,53.0845
2018-09-28,54.7532
2018-08-31,55.2116
2018-07-31,45.993
2018-06-29,44.741
2018-05-31,45.1664
2018-04-30,39.7893
2018-03-29,40.396
2018-02-28,42.8856
2018-01-31,40.15
2017-12-29,40.5817
2017-11-30,41.2099
2017-10-31,40.3904
2017-09-29,36.8254
2017-08-31,39.1862
2017-07-31,35.394
2017-06-30,34.2731
2017-05-31,36.353
2017-04-28,34.0458
2017-03-31,34.0481
2017-02-28,32.4673
2017-01-31,28.6373
2016-12-30,27.3323
2016-11-30,26.0815
2016-10-31,26.6559
2016-09-30,26.5408
2016-08-31,24.9092
2016-07-29,24.3344
2016-06-30,22.3239
2016-05-31,23.3187
2016-04-29,21.7565
2016-03-31,25.296
2016-02-29,22.4412
2016-01-29,22.4711
2015-12-31,24.2995
2015-11-30,27.3098
2015-10-30,27.4687
2015-09-30,25.2735
2015-08-31,25.9194
2015-07-31,27.7571
2015-06-30,28.701
2015-05-29,29.812
2015-04-30,28.5197
2015-03-31,28.3556
2015-02-27,29.274
2015-01-30,26.5947
2014-12-31,25.0556
2014-11-28,26.9964
2014-10-31,24.4098
2014-09-30,22.7712
2014-08-29,23.1668
2014-07-31,21.5003
2014-06-30,20.8998
2014-05-30,20.3372
2014-04-30,18.8531
2014-03-31,17.1486
2014-02-28,16.8131
2014-01-31,15.8993
2013-12-31,17.8183
2013-11-29,17.6611
2013-10-31,16.5047
2013-09-30,15.0537
2013-08-30,15.3842
2013-07-31,14.195
2013-06-28,12.4384
2013-05-31,14.1073
2013-04-30,13.797
2013-03-28,13.7933
2013-02-28,13.754
2013-01-31,14.1132
2012-12-31,16.4892
2012-11-30,18.1347
2012-10-31,18.3586
2012-09-28,20.5723
2012-08-31,20.5148
2012-07-31,18.7547
2012-06-29,17.933
2012-05-31,17.7404
2012-04-30,17.9324
2012-03-30,18.4105
2012-02-29,16.6568
2012-01-31,14.0172
2011-12-30,12.4364
2011-11-30,11.7363
2011-10-31,12.4296
2011-09-30,11.7092
2011-08-31,11.817
2011-07-29,11.9905
2011-06-30,10.3075
2011-05-31,10.6809
2011-04-29,10.7515
2011-03-31,10.7017
2011-02-28,10.8461
2011-01-31,10.4195
2010-12-31,9.9049
2010-11-30,9.5545
2010-10-29,9.2422
2010-09-30,8.7131
2010-08-31,7.4649
2010-07-30,7.8994
2010-06-30,7.7238
2010-05-28,7.888
2010-04-30,8.0173
2010-03-31,7.2162
2010-02-26,6.2833
2010-01-29,5.8977
2009-12-31,6.471
2009-11-30,6.1387
2009-10-30,5.7883
2009-09-30,5.6916
2009-08-31,5.1652
2009-07-31,5.0172
2009-06-30,4.3736
2009-05-29,4.1703
2009-04-30,3.8639
2009-03-31,3.2279
2009-02-27,2.7425
2009-01-30,2.7676
2008-12-31,2.6209
2008-11-28,2.8456
2008-10-31,3.3038
2008-09-30,3.4902
2008-08-29,5.2058
2008-07-31,4.8809
2008-06-30,5.1416
2008-05-30,5.796
2008-04-30,5.3415
2008-03-31,4.4065
2008-02-29,3.839
2008-01-31,4.1565
2007-12-31,6.0825
2007-11-30,5.5955
2007-10-31,5.8328
2007-09-28,4.7126
2007-08-31,4.2523
2007-07-31,4.046
2007-06-29,3.7475
2007-05-31,3.7214
2007-04-30,3.0646
2007-03-30,2.853
2007-02-28,2.5981
2007-01-31,2.6325
2006-12-29,2.6052
2006-11-30,2.8146
2006-10-31,2.4897
2006-09-29,2.3638
2006-08-31,2.0835
2006-07-31,2.0869
2006-06-30,1.7586
2006-05-31,1.8354
2006-04-28,2.1615
2006-03-31,1.926
2006-02-28,2.1031
2006-01-31,2.3187
2005-12-30,2.2075
2005-11-30,2.0826
2005-10-31,1.7684
2005-09-30,1.6462
2005-08-31,1.4399
2005-07-29,1.3097
2005-06-30,1.1303
2005-05-31,1.2209
2005-04-29,1.1073
2005-03-31,1.2796
2005-02-28,1.3775
2005-01-31,1.1807
2004-12-31,0.9888
2004-11-30,1.0295
2004-10-29,0.8045
2004-09-30,0.595
2004-08-31,0.5295
2004-07-30,0.4965
2004-06-30,0.4996
2004-05-28,0.4308
2004-04-30,0.3958
2004-03-31,0.4152
2004-02-27,0.3673
2004-01-30,0.3464
2003-12-31,0.3281
2003-11-28,0.321
2003-10-31,0.3514
2003-09-30,0.3181
2003-08-29,0.3471
2003-07-31,0.3237
2003-06-30,0.2926
2003-05-30,0.2756
2003-04-30,0.2183
2003-03-31,0.2171
2003-02-28,0.2305
2003-01-31,0.2205
2002-12-31,0.22
2002-11-29,0.238
2002-10-31,0.2467
2002-09-30,0.2226
2002-08-30,0.2265
2002-07-31,0.2343
2002-06-28,0.2721
2002-05-31,0.3577
2002-04-30,0.3726
2002-03-28,0.3634
